Itr,train-EnvExecTime,train-PolicyExecTime,Time,train-NumTrajs,Time-Sampling,train-AverageReturn,train-MinReturn,ItrTime,LossAfter,n_timesteps,Time-Optimization,LossBefore,train-StdReturn,Time-SampleProc,train-AverageDiscountedReturn,train-MaxReturn
0,6.606156587600708,381.7289390563965,403.872761964798,100,388.9136440753937,-38.47685345495076,-199.1349012155948,403.8727569580078,-3.0705512,10000,14.579740047454834,-0.01285968,81.99058780942616,0.048779964447021484,-93.31748774727252,144.79715072793599
1,5.380569696426392,268.087525844574,683.6820831298828,100,274.0014650821686,151.5897895013364,102.58344453030578,279.1735453605652,-3.1208541,20000,5.1290459632873535,-0.0071096863,19.082456341703146,0.041062355041503906,257.648801981036,194.83023279455966
2,4.702833652496338,197.10316395759583,888.9660940170288,100,202.2505702972412,160.92275394214016,140.49889006209034,205.25035190582275,-2.0452142,30000,2.9502358436584473,0.018589506,7.162913480505836,0.047631263732910156,278.4230275110926,188.0790614967674
3,4.539253234863281,176.9298391342163,1074.9979248046875,100,181.89284491539001,161.1627558065655,147.7124008830863,186.0122356414795,-5.2782674,40000,4.07063102722168,-0.012551415,5.179127706185741,0.04714393615722656,274.9316872885207,176.69854158923266
4,4.403893947601318,167.1927752494812,1250.9877429008484,100,172.00256896018982,155.79502055325588,147.68759586819445,175.952045917511,-10.850745,50000,3.930094003677368,0.009222202,4.282049986984261,0.01790308952331543,259.6437581761052,165.7590962968528
5,4.559759616851807,164.57184433937073,1423.3037340641022,100,169.53678679466248,149.46137993083892,141.8852740117122,172.29271912574768,-9.398492,60000,2.727733850479126,0.0011537742,3.671624267861947,0.025162935256958008,244.91055100747798,163.31448054637934
6,4.596888303756714,167.4367971420288,1598.6422898769379,100,172.44251489639282,146.61313734991543,141.36791988714637,175.3174078464508,-4.189375,70000,2.8474111557006836,0.021346075,2.4360038885921145,0.026053190231323242,239.1348555737444,152.53298316094336
7,4.82975959777832,165.86779284477234,1772.9411849975586,100,171.10822010040283,145.47049908358414,140.44368010099214,174.27951788902283,-2.006619,80000,3.1503870487213135,0.0059362547,2.2424703943413347,0.01929020881652832,236.74480802520182,152.83205863120807
8,5.295032739639282,183.18137288093567,1965.5322921276093,100,189.01604390144348,145.5780316547164,138.9475669497225,192.570574760437,-1.2041578,90000,3.473708152770996,-0.0065060775,2.875930811161224,0.0798957347869873,236.80088165837654,156.46709108175136
9,4.7665324211120605,168.99226236343384,2142.7373418807983,100,174.3133680820465,146.6796566266661,138.549130855989,177.16727805137634,-0.8452401,100000,2.8229501247406006,0.031590957,3.417593096469233,0.028248071670532227,239.1472750013706,155.0193255316517
10,4.6602702140808105,171.4349229335785,2322.3212039470673,100,176.5019919872284,146.36340437271065,140.4979598699506,179.56193494796753,-0.68762636,110000,3.034769058227539,-0.0055732634,3.298573371877967,0.023553133010864258,238.38132994508075,159.56630431692574
11,4.620496511459351,172.926664352417,2503.1820499897003,100,177.956316947937,147.52668853501652,141.51202382101553,180.8400740623474,-0.57766604,120000,2.8579649925231934,-0.0069084917,3.572163105192558,0.024338960647583008,240.98421786948282,160.05081508264078
12,4.762923240661621,174.3115599155426,2685.8832149505615,100,179.47706532478333,147.47075320615443,140.17228670102236,182.67947697639465,-0.46458793,130000,3.182130813598633,-0.0114337215,4.545929317546026,0.01888108253479004,240.83559207656245,165.0983625039943
13,4.9446656703948975,169.2771806716919,2863.85479593277,100,174.62067890167236,148.2690457061539,140.83794906631832,177.95164704322815,-0.379208,140000,3.309587001800537,0.0013187957,3.9349205023629614,0.02006697654724121,242.62777387939747,158.28074788214832
14,4.523052930831909,174.5110194683075,3047.093181848526,100,179.43406414985657,147.62163397333705,140.9639466644751,183.21685409545898,-0.33517432,150000,3.758815050125122,0.0052878004,4.270196735717188,0.02259206771850586,241.20234347048208,162.25101342199733
15,4.494212627410889,166.74325942993164,3221.6787629127502,100,171.644357919693,149.5003780922647,140.37859433556574,174.56673097610474,-0.28358236,160000,2.9009501934051514,0.014329109,5.2129837078562,0.01965188980102539,245.54425952347313,164.34707314215098
16,4.80533504486084,162.27889847755432,3392.737385034561,100,167.5939428806305,148.85138115926074,140.85972488655665,171.03722405433655,-0.27088535,170000,3.4199512004852295,-0.017379234,4.213591288590435,0.02295398712158203,243.9685479226111,160.58256838357846
17,4.612950801849365,158.74904322624207,3560.0630037784576,100,163.955393075943,148.98571238142853,140.43577165587175,167.3043761253357,-0.26035324,180000,3.331199884414673,-0.015644405,4.791185977576007,0.017310142517089844,244.25358123212106,163.7939139961195
18,5.524219512939453,180.41661953926086,3750.251415014267,100,186.55232000350952,150.65749731242943,142.11528153365538,190.16654801368713,-0.2021696,190000,3.550330877304077,0.024687972,5.62968651345607,0.05972909927368164,248.36396027294748,166.2025515264162
19,4.557732105255127,187.0924949645996,3945.5384759902954,100,192.0597701072693,149.9120248894204,141.68761486179176,195.2561309337616,-0.24805376,200000,3.170029640197754,-0.002441619,4.85819274368048,0.02541804313659668,246.57138322513086,162.59840846143396
20,4.60976767539978,196.79760122299194,4152.41849398613,100,201.81225085258484,149.54024190920182,141.86287121046556,206.8585078716278,-0.20734301,210000,5.023069381713867,-0.0011010803,4.723809699205562,0.022888898849487305,245.36971223623294,163.49335215614954
21,4.6572229862213135,194.93339657783508,4356.911000967026,100,200.00162625312805,150.06666645931978,140.0650947208204,204.47435331344604,-0.1935598,220000,4.449631929397583,-0.0047346954,5.571588130650331,0.019723892211914062,247.0816674937912,163.04431921900903
22,4.559673309326172,200.04622769355774,4565.6711258888245,100,205.0637550354004,150.53433747173895,143.4813317856026,208.7395520210266,-0.17582491,230000,3.656320095062256,0.0070833466,4.623982498793836,0.018167972564697266,247.73369739193834,163.51441555297063
23,4.508120775222778,171.08344316482544,4744.869081020355,100,175.99455904960632,150.7845360438111,141.4140848839687,179.17551708221436,-0.15607506,240000,3.15529203414917,0.017467806,5.2064406912327374,0.025195837020874023,248.67540012739641,169.31365471217666
24,4.52740478515625,167.7460913658142,4920.839662075043,100,172.67559695243835,149.46641600906653,142.4578303780064,175.9497787952423,-0.14891602,250000,3.2467570304870605,0.0030997978,4.5067335241887285,0.02440929412841797,245.437407334854,164.25069172603511
25,4.5844550132751465,155.19219136238098,5083.99716591835,100,160.18738412857056,150.01686545299788,140.32758821383203,163.1336851119995,-0.18309785,260000,2.925323963165283,-0.0067560007,4.751473782115143,0.019114971160888672,246.70099409321756,164.4604275070663
26,4.618455648422241,160.44567394256592,5254.225063800812,100,165.46301007270813,150.14894592461212,141.52358601896262,170.2067358493805,-0.2027464,270000,4.7206871509552,-0.009893645,4.700302964712834,0.021251201629638672,247.11069248850387,163.0216418522143
27,4.615195274353027,158.97162532806396,5421.441588878632,100,163.98628878593445,150.28397001105682,141.35545034236748,167.1938271522522,-0.21343718,280000,3.184788942337036,0.007944586,5.029539013328915,0.020434856414794922,247.40589035327233,163.79762536432474
28,4.743966579437256,166.8292362689972,5596.794456958771,100,171.98981356620789,150.80374547637726,141.98158181578313,175.33053493499756,-0.22693819,290000,3.3093719482421875,0.022568876,4.727225330130186,0.028031349182128906,248.8941948637021,163.80033002677604
29,4.548626184463501,153.10681867599487,5758.489130020142,100,158.05330276489258,150.6862612331177,141.9414883353098,161.6704559326172,-0.24315715,300000,3.595918893814087,0.008771982,4.756787959179637,0.020880937576293945,248.34382453465372,166.67850185213308
30,4.516919374465942,155.95987057685852,5922.841116905212,100,160.87101674079895,151.25830199826822,141.82729109510694,164.3239459991455,-0.25754094,310000,3.4322381019592285,-0.014870443,5.330840434516377,0.02021026611328125,249.54118653262412,165.48119137495422
31,4.403712511062622,161.2369863986969,6092.373669862747,100,166.03321313858032,150.59820108102866,141.4587350099182,169.51126670837402,-0.26334494,320000,3.449479818344116,-0.002241707,4.66722879758269,0.02812480926513672,248.14919754719057,165.22562665116604
32,4.388250112533569,163.367253780365,6264.092107057571,100,168.15010595321655,153.548587198543,142.96003201902786,171.6970031261444,-0.28258076,330000,3.4792909622192383,0.011822249,6.116329335672638,0.06693911552429199,255.0585932868791,169.76082944064171
33,4.512641429901123,175.58493161201477,6449.586796998978,100,180.50167107582092,153.1328350932866,143.2657734820517,185.47356009483337,-0.31207648,340000,4.9402618408203125,0.0056684418,5.539008032657881,0.03030872344970703,254.21986289037952,168.6409266973811
34,4.464746713638306,169.90418696403503,6627.804939031601,100,174.76484417915344,152.7308928011055,141.71094001279903,178.19398188591003,-0.34641826,350000,3.4079699516296387,-0.0010711899,4.940337105520026,0.019681692123413086,253.2282750472019,168.09531828152683
35,4.503603458404541,186.63623547554016,6822.402398824692,100,191.55030179023743,152.0878920092026,142.86122739469766,194.57484126091003,-0.39042377,360000,3.0034289360046387,-0.004110285,5.45098906015138,0.01970672607421875,251.80222170504726,166.108024309115
36,4.472097158432007,180.4839928150177,7010.843961954117,100,185.37140202522278,153.88149399070554,142.28255559554478,188.41946697235107,-0.42598724,370000,3.0265510082244873,0.0043301866,6.135883752302653,0.018741846084594727,256.1180455871091,171.3183020087596
37,4.6287431716918945,190.5679166316986,7210.599349021912,100,195.62260508537292,153.09975304580817,141.75042446382568,199.72414422035217,-0.45736197,380000,4.073868989944458,0.0017641449,5.659200522430143,0.026805877685546875,254.20377152512464,170.45774858631304
38,4.7157275676727295,191.98146605491638,7410.808845043182,100,197.11962795257568,154.5915111084532,143.11427879268442,200.18217706680298,-0.53261733,390000,3.0371241569519043,0.009048878,6.649150152286335,0.02401900291442871,257.89573108370337,170.86258567606703
39,4.605670690536499,177.59390473365784,7596.695773839951,100,182.6100652217865,153.60670812007152,142.38378123697785,185.8641800880432,-0.5533043,400000,3.2297677993774414,0.003953763,5.207311369986068,0.023526906967163086,255.73061901062164,169.02492574322198
40,4.713952541351318,183.86633610725403,7789.0939247608185,100,189.04438710212708,154.86158365267798,142.72604681545752,192.37796306610107,-0.5868411,410000,3.1944570541381836,0.019377945,6.640361022368068,0.1378319263458252,258.5470956764077,174.81722781648537
41,4.690958499908447,185.9547529220581,7983.622692108154,100,191.06919813156128,154.1213609296046,142.90940200502573,194.50731873512268,-0.75112766,420000,3.414151906967163,0.013316687,6.044665451842226,0.021862268447875977,256.8862137683295,171.170454224107
42,4.658842086791992,185.5018606185913,8177.362409830093,100,190.56266903877258,154.1620167617076,146.56216031936953,193.71825003623962,-0.8851878,430000,3.1346287727355957,-0.0024300935,4.868311828753791,0.019639015197753906,256.8079349403073,168.31373842411645
43,4.619896173477173,190.9595603942871,8376.839932918549,100,195.99280500411987,154.95437491466117,143.13293528340054,199.45486187934875,-0.91475666,440000,3.439774990081787,-0.013610367,5.5337598037852125,0.0202329158782959,258.88817859828856,172.81116661748675
44,4.584253311157227,178.96879267692566,8565.865837097168,100,183.9619481563568,153.22102423722777,142.0399508403185,189.0019612312317,-0.7944068,450000,5.018917083740234,0.0076474687,4.647741280620699,0.01952672004699707,255.29529599372404,167.3208485541163
45,4.84278416633606,175.6918604373932,8750.304275989532,100,180.9471800327301,157.56281562908993,143.75818211023815,184.41546893119812,-1.0890987,460000,3.447512149810791,0.0036472694,6.899918134084031,0.01895308494567871,264.92433473178625,171.46129689305698
46,4.508452653884888,177.39675426483154,8936.12884092331,100,182.3057758808136,157.88717124658578,146.86309289890383,185.79995393753052,-1.080783,470000,3.4439947605133057,0.012394349,6.221342908468857,0.03899383544921875,265.63596605079505,173.0945305849356
47,4.693984031677246,181.1879563331604,9126.2048869133,100,186.39017415046692,156.5664501076772,144.34474573728662,190.04001092910767,-1.2732834,480000,3.525567054748535,-0.009369692,5.809129031814128,0.1226949691772461,263.1525451537829,172.02312699296434
48,4.5112833976745605,174.41255378723145,9308.830840110779,100,179.34721398353577,157.09856353195363,147.7107754228574,182.59240007400513,-1.3594142,490000,3.2185909748077393,-0.000114993665,5.085149843991784,0.026168107986450195,264.4678012967438,172.23491698353428
49,4.5196661949157715,154.7741141319275,9472.524079799652,100,159.6949818134308,156.07194256359676,144.27956981338534,163.67190980911255,-1.3952279,500000,3.944491147994995,-0.005185126,5.593666656841039,0.019108057022094727,261.87255962467714,174.7416874618944
50,4.5265748500823975,152.5143382549286,9633.089258909225,100,157.45773315429688,156.839255189816,146.1120170016401,160.53024005889893,-1.4761716,510000,3.0498340129852295,-0.02233747,5.644990143835583,0.021896839141845703,263.84247880916314,171.20581376378283
51,4.508472442626953,153.2402844429016,9794.508214950562,100,158.14950227737427,157.37914190670566,144.87498541520702,161.40096426010132,-1.5246029,520000,3.229246139526367,0.0013685746,5.80125963156674,0.0218808650970459,265.4547282233041,181.020553820969
52,4.458474636077881,156.57521057128906,9958.977458953857,100,161.43469381332397,156.62101864434766,145.09492966664953,164.44849681854248,-1.5909938,530000,2.990734100341797,-0.0029625061,5.98417300528549,0.02061295509338379,263.65021989342256,174.84290960348054
53,4.490655183792114,160.07056212425232,10127.338590860367,100,164.99660682678223,157.72890461564708,148.47242358486363,168.33897709846497,-1.5759794,540000,3.3210628032684326,0.0072623375,5.3504922487840485,0.019478797912597656,266.01291459356804,170.6565598781775
54,4.549106121063232,163.78913068771362,10299.15804696083,100,168.74841380119324,156.9986645033392,143.3446356300535,171.79500699043274,-1.6390048,550000,3.0251259803771973,0.008321446,5.64622035763,0.01935124397277832,264.10938863503316,178.02038624978846
55,4.513607501983643,173.37228441238403,10480.669270992279,100,178.29917311668396,159.0221774145113,147.042989131152,181.48921012878418,-1.6855035,560000,3.166486978530884,-0.010642618,6.406238837205176,0.02184605598449707,269.0362461323005,173.50592086284996
56,4.589617967605591,176.38680768013,10666.114459753036,100,181.38928174972534,158.36671978133572,146.99067085614894,185.42246890068054,-1.7270676,570000,4.011703968048096,-0.0032980628,5.545095589370791,0.0194549560546875,267.5977058803321,173.14601376006655
57,4.647320747375488,187.51210379600525,10862.519012928009,100,192.59096598625183,158.87408348314685,149.14063236424738,196.3679769039154,-1.6064537,580000,3.749176025390625,0.024389975,5.615997800646938,0.02626800537109375,268.96546637880755,173.60611975875455
58,4.719537258148193,185.35080647468567,11056.078149080276,100,190.49116802215576,156.68683244978573,148.1865738536002,193.5387418270111,-1.1976293,590000,3.022723913192749,-0.015990201,5.5110166047606635,0.024260997772216797,264.38931521660464,173.771872379446
59,4.610743761062622,179.06398177146912,11244.362545967102,100,184.0830078125,159.56060132988017,143.7416028631274,188.26312494277954,-1.2416481,600000,4.161622047424316,-0.0019294647,6.602651677255679,0.018115997314453125,270.12295126529494,175.29840861674714
60,4.561244010925293,179.93050289154053,11433.901715993881,100,184.92170405387878,159.6716278990742,147.8220786931484,189.5187520980835,-1.6069717,610000,4.574697971343994,-0.0044705383,6.086874961714726,0.02100372314453125,269.96298410765314,176.323340278849
61,4.611732244491577,183.96610307693481,11625.784815073013,100,188.98079633712769,161.54350633543888,147.84699245141292,191.85881686210632,-1.518002,620000,2.8561248779296875,0.017856924,7.042389465301501,0.020490169525146484,274.64860145048897,181.9245366285306
62,4.7758355140686035,185.76418161392212,11820.35710310936,100,190.97983574867249,161.0927035916095,146.66861942519412,194.55237293243408,-1.5368065,630000,3.550469160079956,0.00071437075,6.50462823633105,0.020677804946899414,273.46376801055806,178.2166230195999
63,4.611897230148315,184.18964099884033,12012.644142150879,100,189.20344495773315,160.50201628924432,141.66624884152657,192.2650761604309,-1.4364722,640000,3.0410239696502686,-0.0021857207,6.776329795467539,0.019006967544555664,272.20617167434676,176.6376668226457
64,4.568366527557373,185.84193086624146,12207.985394954681,100,190.81625318527222,161.4731234993081,147.23096597072035,195.31960701942444,-1.4169433,650000,4.480553150177002,0.010533871,6.232919686279355,0.020738840103149414,274.6884573824615,176.99880477648517
65,4.5559821128845215,189.01343536376953,12405.51645207405,100,193.9950520992279,160.01394658543282,144.16613650561052,197.51032185554504,-1.4506521,660000,3.4873759746551514,-0.011028326,6.658981624565792,0.0263516902923584,270.9412532837108,178.94093045367262
66,4.559488534927368,180.62962794303894,12594.551309108734,100,185.6140480041504,160.7596847545033,150.37944036954337,189.0110912322998,-1.3536127,670000,3.373995065689087,-0.005213943,6.233836542593835,0.021373987197875977,272.7887006442156,175.71893280571834
67,4.594245433807373,184.7871081829071,12787.75676393509,100,189.8012981414795,161.118654671786,146.80052327929292,193.18228387832642,-1.3349619,680000,3.360531806945801,0.008778777,6.348394787120055,0.019025087356567383,273.6362991218564,177.35559870656957
68,4.615288734436035,175.25478744506836,12972.235706090927,100,180.2889380455017,162.60697717388695,145.6028634515375,184.45689582824707,-1.3483144,690000,4.145025014877319,-0.006218787,5.809748881235873,0.0225069522857666,277.28677543259096,176.95148592054582
69,4.54632568359375,170.3110191822052,13151.532316923141,100,175.25918102264404,160.94536317056884,149.40030191022288,179.27480173110962,-1.306166,700000,3.9820690155029297,0.0020966798,5.510074942948716,0.03226017951965332,273.26820702349124,177.16837661450782
70,4.539998769760132,170.0803577899933,13329.163849830627,100,175.02254700660706,162.86454225423262,148.8835175658092,177.61029195785522,-1.3480642,710000,2.5666511058807373,0.0033109742,6.6935129935094775,0.019093990325927734,277.92647084348437,177.9855657712249
71,4.495399475097656,174.01593351364136,13511.449783086777,100,178.9510316848755,160.60817494150209,141.52674926966284,182.21431493759155,-1.3068764,720000,3.229365825653076,0.009767684,6.9975750794746086,0.03361678123474121,272.50338436129056,176.89719569719998
72,4.510602235794067,183.7635703086853,13703.664996147156,100,188.6744041442871,163.55116636588733,138.6614943385209,192.19493985176086,-1.3697025,730000,3.485625982284546,0.005485434,6.911417019566532,0.03430819511413574,279.700043773104,178.56474351818335
73,4.58211612701416,180.77714586257935,13892.802151918411,100,185.78032803535461,162.53361892435512,148.66986801410306,189.11382174491882,-1.3202988,740000,3.269477128982544,0.021105831,6.073270166168056,0.06265807151794434,277.00494834877105,178.47422215197176
74,4.529448986053467,184.93732833862305,14086.656394958496,100,189.87683081626892,163.34829825282273,148.9837040140539,193.81991505622864,-1.2688488,750000,3.92258882522583,0.024454584,6.559702276790147,0.017895936965942383,279.070655600611,176.03178774636137
75,4.547509431838989,180.36691999435425,14275.892589092255,100,185.31728196144104,163.29057052530547,152.04954081798246,189.21569299697876,-1.3527958,760000,3.875916004180908,0.0030615944,5.4622990756359195,0.0208590030670166,278.9105805251775,177.08139829811034
76,4.599835157394409,175.44834518432617,14459.354367017746,100,180.4520411491394,164.06614959164955,148.76435301018097,183.4382860660553,-1.3212162,770000,2.9662587642669678,0.01696506,5.993440367080093,0.018671751022338867,280.73960471871436,178.61296595942946
77,4.592017650604248,172.36770701408386,14640.412835121155,100,177.36604619026184,165.05672833284305,151.25371284857007,181.03648614883423,-1.3347801,780000,3.6383469104766846,0.0065155495,6.4031355304485995,0.030591964721679688,283.35833232260853,180.75793197155375
78,4.5190205574035645,167.92086696624756,14816.260589122772,100,172.83616614341736,163.29136505598052,148.5235483242615,175.82483315467834,-0.8088737,790000,2.9663586616516113,-0.00035805968,6.732455163703832,0.020815134048461914,279.35229062080026,177.31386912716522
79,4.466660261154175,170.81717658042908,14995.192864894867,100,175.69476509094238,164.1438657019112,149.63819176310957,178.91101813316345,-0.90309304,800000,3.193988800048828,-0.0030440963,6.083163048745133,0.020532846450805664,280.7226659854752,176.85640147438897
80,4.500821828842163,174.89560389518738,15179.71002483368,100,179.79776692390442,161.15657008687032,150.00323759960446,184.4751968383789,-0.90546405,810000,4.647881031036377,-0.008961103,6.062157805736321,0.028252840042114258,274.2301446276404,176.07055576093217
81,4.543411016464233,175.9769024848938,15364.183094024658,100,180.92328810691833,158.59423944686105,146.19612105180235,184.45089721679688,-1.0956694,820000,3.5062432289123535,0.009128,5.360439476086334,0.02075028419494629,269.02757759343933,176.10455272240688
82,4.438207387924194,165.98556756973267,15539.125658750534,100,170.83634090423584,158.4728331283633,148.91676526458605,174.92006301879883,-1.1869237,830000,4.018015146255493,-0.023268772,5.532838497871587,0.0653228759765625,268.71820684714055,174.9703752932164
83,4.536961317062378,174.27678227424622,15721.613440990448,100,179.22501277923584,157.70183347233404,145.8215400832364,182.468759059906,-1.1712612,840000,3.202259063720703,-0.016157523,5.5492437195777855,0.030684947967529297,266.9064329043863,174.21073152382604
84,4.532125234603882,172.0605444908142,15901.964293956757,100,177.00050687789917,158.1554712159096,145.2035361563981,180.33050203323364,-1.1107801,850000,3.3081021308898926,0.0014476922,6.074384064323962,0.02005600929260254,267.9483902204948,174.0149152867732
85,4.572113513946533,172.10310459136963,16081.690938949585,100,177.08026027679443,158.89574052330414,147.46107957852806,179.70516300201416,-1.097179,860000,2.6006059646606445,0.0040573915,6.402659308297454,0.02356886863708496,270.0599198538522,174.0976010814688
86,4.526850461959839,170.31593251228333,16260.259725093842,100,175.23973298072815,157.7679140802164,139.02438777017403,178.54503107070923,-1.0918323,870000,3.2838492393493652,-0.018497007,6.217263438760008,0.019750118255615234,267.2041909396827,173.45444934170285
87,4.568660736083984,173.42700719833374,16441.92746591568,100,178.39751720428467,158.82074564403104,145.50374041202642,181.64392685890198,-1.0552171,880000,3.2205810546875,-0.001397322,6.024607022717432,0.024576902389526367,269.67235152373286,174.56284005226408
88,4.470134735107422,155.99148082733154,16606.721868038177,100,160.862872838974,158.74117414689442,149.39592782552242,164.77193999290466,-1.0775669,890000,3.8869171142578125,0.000709552,5.084483967799431,0.019479036331176758,269.26125216487935,176.01487845582585
89,4.436814069747925,162.91203117370605,16778.30649280548,100,167.756826877594,157.48313641418827,147.0000183089633,171.56579422950745,-1.0860393,900000,3.725121021270752,0.008169997,4.991238021387103,0.08344483375549316,266.6812954625663,171.11037746892245
90,4.469197511672974,165.65972709655762,16952.645788908005,100,170.53044199943542,157.26003230178057,146.2578205206256,174.31803393363953,-1.0919119,910000,3.7684993743896484,0.009832333,5.234437607940646,0.018207073211669922,266.0090680729299,177.1213852053612
91,4.472173452377319,150.96482586860657,17113.800236940384,100,155.8320870399475,156.63774554567397,148.3137731579469,161.13099312782288,-1.1499755,920000,5.2675559520721436,-0.022081973,4.6001534776168205,0.02693486213684082,264.74835286799384,170.3314058678963
92,4.388137102127075,144.85380506515503,17266.94578886032,100,149.64879059791565,156.4710754282247,145.82226638319858,153.12438082695007,-1.0992045,930000,3.45151686668396,0.0057025757,4.597998091248434,0.022516965866088867,264.4384142940651,171.10712975811052
93,4.507529020309448,168.61884880065918,17444.207825899124,100,173.528067111969,156.9156399971638,146.64266057169246,177.24144673347473,-1.1110811,940000,3.6931450366973877,0.0024837845,4.690539704825348,0.018738985061645508,265.4015684270737,171.5052007553654
