n_timesteps,Time,train-AverageDiscountedReturn,train-MaxReturn,LossBefore,Time-Sampling,train-StdReturn,ItrTime,Time-SampleProc,LossAfter,Itr,train-MinReturn,train-AverageReturn,train-NumTrajs,train-PolicyExecTime,Time-Optimization,train-EnvExecTime
10000,199.09077095985413,-158.43801930590743,169.60782874767358,-0.015927613,191.9022340774536,66.60768633388317,199.09076499938965,0.0574488639831543,-1.389209,0,-156.86705693898114,-66.41977625892297,100,185.8123140335083,7.128643989562988,5.547294616699219
20000,392.18499398231506,321.1665506502745,202.09676686502468,-0.020358985,189.54566097259521,12.519155051051007,192.98702311515808,0.17931318283081055,-0.8197164,1,145.8790590886742,176.75621491738102,100,183.64494442939758,3.0996828079223633,5.448213577270508
30000,575.3679008483887,240.88277302284206,180.1938135671088,-0.00024902954,179.62648701667786,12.480538990143614,183.1596930027008,0.03931474685668945,-0.37917408,2,117.72010069378574,137.06669842820165,100,174.00694918632507,3.492462158203125,5.132081985473633
40000,762.4061899185181,191.4628140093274,153.4979769652666,-0.019159479,183.82937121391296,30.138497433930873,187.01630806922913,0.02187180519104004,-0.64691335,3,7.194037706613641,111.39073098837427,100,178.30419254302979,3.1635029315948486,5.077940225601196
50000,947.536691904068,226.26320480681667,175.05886799682244,0.037264034,179.91279983520508,18.908323672719945,185.11130499839783,0.08454489707946777,-0.5302704,4,72.32288247954855,125.87390599649966,100,174.15776538848877,5.1125078201293945,5.247014760971069
60000,1131.188584804535,230.5228485620607,165.3218030050891,-0.0029021834,180.06921100616455,17.320745149686957,183.6122808456421,0.021524906158447266,-1.2302946,5,85.19875532901465,127.44151997568459,100,174.78023433685303,3.5199532508850098,4.8311097621917725
70000,1322.6707010269165,-14.654253650447037,143.8495731032421,0.006141626,188.29850006103516,68.23835041939336,191.4591929912567,0.024626970291137695,0.01233501,6,-118.65766635150257,1.6424737046043638,100,182.7936658859253,3.1121490001678467,5.052077054977417
80000,1503.9084820747375,-145.29252047749483,148.25700303836695,-0.010609607,177.6316819190979,81.24686961403297,181.21602702140808,0.20677495002746582,-0.44044736,7,-224.8739445433779,-74.91606274264598,100,172.21400547027588,3.3759119510650635,4.943209648132324
90000,1684.87903881073,-185.19238947958925,167.02306586467037,0.027260792,177.45404386520386,100.69243649368276,180.94594597816467,0.021894216537475586,-1.4362174,8,-257.2865112187489,-96.4907247013794,100,171.71564149856567,3.4671480655670166,5.291674375534058
100000,1877.7825379371643,-215.3672078206537,7.539960498275972,-0.021419208,189.45424103736877,91.04390252353427,192.8801941871643,0.23753905296325684,-4.595286,9,-237.312052850147,-112.3591286367047,100,183.94893598556519,3.1870920658111572,4.821152925491333
110000,2063.409544944763,-238.23121717306444,0.8964724942686236,-0.008463343,181.51110005378723,73.86598798157053,185.59399700164795,0.023244857788085938,-5.5389895,10,-213.56136631650745,-121.17239127436507,100,176.1097333431244,4.05801796913147,4.8618998527526855
120000,2254.1038608551025,-98.11359178435752,94.4638742496963,-0.0009425293,186.97884392738342,83.84239941740613,190.67442989349365,0.023556947708129883,-3.8261805,11,-221.13896483509856,-49.99337257427695,100,181.5603449344635,3.6707582473754883,4.979563236236572
130000,2517.2595608234406,-449.35155985387473,-162.37280896975565,0.019269055,257.9891948699951,17.251978038440576,263.13383984565735,0.21816015243530273,-7.5169744,12,-236.62739543737354,-209.3348461012481,100,250.8651340007782,4.925421953201294,6.522528409957886
140000,2768.2496070861816,-259.64224681314073,-105.9718082269624,0.0047652647,246.48754405975342,3.6127922275228856,250.94844388961792,0.06743621826171875,-10.18002,13,-128.03923925605272,-116.03851177131922,100,239.5657730102539,4.3924946784973145,6.180634260177612
150000,3094.0152790546417,-308.64299080490963,-136.14364593922775,0.003908258,318.3160009384155,1.597966216592168,325.73452520370483,0.09256291389465332,-4.1347833,14,-142.62814367748445,-139.71894879306504,100,311.3817958831787,6.690014123916626,6.233094215393066
160000,3496.040359020233,-309.2503265305503,-135.90425506704665,0.0017438126,397.2087302207947,1.6171115160332734,401.9934449195862,0.04020380973815918,-2.4985251,15,-143.2214369019567,-140.18410731988263,100,389.8265678882599,4.743560075759888,6.758105516433716
170000,3735.8601467609406,-309.55339567273023,-136.04111200869949,-0.0065851784,235.28783106803894,1.6069186696493138,239.7864739894867,0.04406881332397461,-1.9694151,16,-142.94031342928358,-140.34148693484028,100,228.77860736846924,4.453877925872803,5.980603218078613
180000,3960.937602043152,-309.81190579127855,-136.3329431546255,-0.0064531458,220.93527007102966,1.730285483027497,224.98651695251465,0.03526496887207031,-2.069617,17,-143.86336169494774,-140.45420788422274,100,214.11025428771973,4.01301383972168,6.265146732330322
190000,4142.976029872894,-309.18086739461484,-136.84124290407158,0.0055081826,178.26784992218018,1.786574784224153,182.01480078697205,0.019594907760620117,-1.7081972,18,-144.15690437303687,-140.17234307091013,100,172.76671934127808,3.725447177886963,5.044346332550049
200000,4436.924103021622,-271.4713721957525,-115.06824472159758,0.009720167,284.5003626346588,3.473154475328841,293.9257779121399,0.06565189361572266,-1.3212613,19,-136.49102296121498,-122.3999856946893,100,277.85618805885315,9.358675003051758,5.933403968811035
210000,4708.892701864243,-186.94017928561632,-87.41843541434736,-0.01837977,267.9944930076599,3.6814469450178415,271.85291290283203,0.03708291053771973,-1.3277375,20,-113.64174100245192,-95.72545486522846,100,262.35523796081543,3.8206939697265625,5.153809309005737
220000,4926.412436962128,-246.0321055651876,-115.50659672282964,0.0156618,213.75930094718933,1.7723026540707099,217.4647479057312,0.0201718807220459,-2.1143887,21,-125.06188142618137,-119.9972906752717,100,208.4898076057434,3.6826059818267822,4.796333312988281
230000,5119.018208026886,-268.107001479226,-124.96008676578415,0.013183096,189.22941303253174,1.2610672502867237,192.57707595825195,0.023101091384887695,-2.8795786,22,-131.28290003417817,-128.63941084231288,100,184.21408581733704,3.322844982147217,4.57863187789917
