n_timesteps,train-AverageReturn,train-NumTrajs,Time-Sampling,Time,train-StdReturn,train-AverageDiscountedReturn,train-MinReturn,Time-SampleProc,LossAfter,train-EnvExecTime,LossBefore,Time-Optimization,Itr,ItrTime,train-PolicyExecTime,train-MaxReturn
10000,-47.633914950286254,100,16.858119010925293,17.78384494781494,37.26871742938864,-82.87008320728373,-175.5598873318747,0.11074352264404297,0.022398673,2.73652720451355,0.05963808,0.8146641254425049,0,17.783840894699097,13.85135793685913,29.22304780313597
20000,-32.13098798907603,100,15.029531002044678,33.561354637145996,28.062144937046455,-56.943194577277325,-126.98371209904573,0.13181304931640625,0.045926068,2.7972090244293213,0.06815956,0.5720663070678711,1,15.733654737472534,11.948126792907715,34.98889474577132
30000,-39.04551192251834,100,17.10716986656189,51.46209740638733,30.73497409960167,-66.57648238338611,-107.80230626687067,0.21270537376403809,0.050598465,2.9537503719329834,0.076280735,0.5515429973602295,2,17.871659517288208,13.807393550872803,53.71529377856547
40000,-32.97040906029584,100,16.87325954437256,69.01909160614014,28.300609628976837,-57.75693078697174,-115.67579535070459,0.16808152198791504,0.04332459,2.8499038219451904,0.066199146,0.48265671730041504,3,17.533411741256714,13.687170267105103,42.364161859242536
50000,-33.74222483397325,100,14.542278528213501,84.3225576877594,32.975415977155286,-58.926864744131365,-128.64020152561494,0.16328835487365723,0.024799883,2.8639395236968994,0.048247356,0.5751502513885498,4,15.280954599380493,11.393413066864014,51.33677947816482
60000,-24.001554198995645,100,15.495470762252808,100.52831387519836,28.921317267706723,-39.76295286671644,-99.07074030691416,0.14179658889770508,0.049624946,2.8568029403686523,0.06923194,0.5434186458587646,5,16.18092370033264,12.367352485656738,53.2730072163405
70000,-24.08040855110908,100,13.630667209625244,115.065842628479,32.2863715801379,-39.2787398008106,-114.26264459577078,0.20652389526367188,0.03777968,2.654663324356079,0.063718244,0.6707949638366699,6,14.508195877075195,10.63935136795044,74.33066365445673
80000,-23.86347170672819,100,14.569178342819214,130.48957681655884,30.2145694456111,-38.15290861678192,-93.51576016114161,0.17647337913513184,0.04048303,2.7019224166870117,0.06376015,0.6459476947784424,7,15.392899513244629,11.587377071380615,56.857192274925694
90000,-19.20263806854385,100,14.208773612976074,145.3183777332306,27.25790958461252,-31.820953874936727,-92.8861018125527,0.10344552993774414,0.032188702,2.6573615074157715,0.05644642,0.48931026458740234,8,14.801767349243164,11.285773038864136,55.32270856962129
100000,-21.825334414779878,100,18.190571546554565,164.13036823272705,30.69434043634747,-36.951893868158606,-104.955673268087,0.09337377548217773,0.03800581,3.1480252742767334,0.060713306,0.49820542335510254,9,18.782402992248535,14.728206634521484,70.99455834373872
110000,-16.98651829568052,100,16.725844383239746,181.62617373466492,32.51546102389158,-26.24495786333118,-103.53200632964617,0.19092798233032227,0.047758643,3.0382235050201416,0.07164777,0.5495197772979736,10,17.466532707214355,13.397393226623535,50.52344124091538
120000,-12.780780616299879,100,15.548049926757812,197.9941565990448,28.293216580791363,-20.125574869865265,-93.14598698025948,0.11419868469238281,0.03860289,2.816202163696289,0.06074066,0.6858706474304199,11,16.348339319229126,12.43941068649292,51.629913573304506
130000,-18.301766006789304,100,16.30838108062744,215.2366635799408,25.29458367719388,-27.760452728473503,-94.51799526601431,0.22142577171325684,0.045014422,2.768501043319702,0.066702664,0.6955864429473877,12,17.225621461868286,13.235271215438843,46.865340356488396
140000,-18.93546784222407,100,15.40419626235962,231.39761400222778,31.228115463213342,-32.31472268944763,-103.90317204575638,0.12285041809082031,0.029496042,2.7594873905181885,0.0570194,0.6012802124023438,13,16.12855625152588,12.356593370437622,55.38772407207972
150000,-15.011280270946195,100,16.064761638641357,248.17497396469116,33.98596898902462,-24.2337538467966,-116.32647325470352,0.1258859634399414,0.043201543,2.936889886856079,0.06841275,0.5626330375671387,14,16.753502368927002,12.807235479354858,71.66818246374802
160000,-14.711138441983838,100,17.206796407699585,266.03946566581726,27.69729278182165,-25.070061714603206,-67.75149415533642,0.1327824592590332,0.050934024,2.9627749919891357,0.07364673,0.49933910369873047,15,17.839451789855957,13.967243671417236,63.6144967609359
170000,-5.07667251196796,100,17.303711891174316,284.0975637435913,29.97552787479826,-6.636834267921253,-84.83245123611748,0.12125468254089355,0.031524975,2.8905036449432373,0.05881913,0.6075687408447266,16,18.033036947250366,14.124436140060425,82.8144722432025
180000,-12.783029967820562,100,13.2210054397583,298.05329942703247,26.674995753895168,-19.89262922354885,-81.5003738735359,0.06799650192260742,0.032015312,2.8655147552490234,0.056721583,0.6410939693450928,17,13.93397307395935,10.097009420394897,59.54891365540189
190000,-19.278967628318135,100,16.08626914024353,314.99969840049744,25.89979680039632,-30.722122014993484,-73.22908337637233,0.13373994827270508,0.048382338,2.8583414554595947,0.07479127,0.7051582336425781,18,16.925391912460327,12.942225694656372,43.83720249016115
200000,-15.284220439692767,100,13.8888840675354,329.71352767944336,29.335851781214025,-23.66919887946197,-99.62088254990809,0.0664980411529541,0.024505883,2.7276647090911865,0.057587348,0.7300670146942139,19,14.690115213394165,10.900746583938599,53.65925242478377
210000,-10.652822636018605,100,16.234843015670776,346.7205264568329,29.4585386656154,-19.925029206801245,-84.2362701098098,0.09753656387329102,0.04223468,2.8204293251037598,0.06424473,0.6518077850341797,20,16.98443102836609,13.084733486175537,63.43262715347187
220000,-8.004667437973216,100,14.441097736358643,361.9803159236908,30.21854309479134,-11.429678391456964,-71.09099621641303,0.11382055282592773,0.042847864,2.8138997554779053,0.068194784,0.6576943397521973,21,15.212977409362793,11.35435438156128,93.78943145696897
230000,-11.192489117017969,100,14.500484943389893,377.3287534713745,24.515105754636732,-18.615795010384833,-89.66962327936162,0.14274048805236816,0.042463243,2.8537118434906006,0.070979945,0.6494216918945312,22,15.29287576675415,11.379539728164673,52.31070848043916
