Itr,n_timesteps,Time-SampleProc,Time-Sampling,train-MaxReturn,train-EnvExecTime,train-AverageDiscountedReturn,train-MinReturn,train-NumTrajs,train-StdReturn,Time-Optimization,LossAfter,Time,train-AverageReturn,train-PolicyExecTime,ItrTime,LossBefore
0,10000,0.07441186904907227,8.142349243164062,129.4010189262694,3.2078073024749756,-96.6364802601803,-217.30194733792527,100,87.15175969831157,0.49452972412109375,-0.18603891,8.71159291267395,-39.49724017113414,4.697730302810669,8.711589097976685,-1.2207031e-08
1,20000,0.10647892951965332,7.750092267990112,166.87302348735034,3.045074224472046,80.92611362797096,-1.4965543959809917,100,30.67384937682333,0.4896681308746338,-0.062792994,17.089184045791626,69.33320121745948,4.463802337646484,8.348135709762573,-0.004938611
2,30000,0.08790302276611328,8.014227867126465,198.04390901123801,3.228992462158203,319.7088838853621,121.74388515863188,100,17.48262428834562,0.2608661651611328,-0.109097585,25.47426152229309,177.42357761288383,4.540616750717163,8.363409280776978,-0.009527288
3,40000,0.09663510322570801,8.166516065597534,202.07008368559616,3.2702670097351074,316.824959052649,121.24801780187171,100,18.478653349560197,0.3275735378265381,-0.09593239,34.083786725997925,173.1640722653336,4.652959823608398,8.591005563735962,-4.386902e-09
4,50000,0.0359041690826416,8.132544040679932,196.0866103534403,3.2625365257263184,316.3435252309834,155.3021925007233,100,8.453497409088753,0.43602848052978516,-0.05460355,42.70719504356384,180.58530367269924,4.627098798751831,8.604701519012451,-9.155274e-09
5,60000,0.09843802452087402,8.171690702438354,219.639312132988,3.2429451942443848,329.20051919254945,3.650238287533116,100,37.26635278291975,0.497882604598999,-0.04117915,51.49698805809021,180.83240517958947,4.68596887588501,8.768264770507812,-1.8310548e-08
6,70000,0.037877559661865234,8.13001298904419,198.3846154430133,3.253887891769409,336.1173521678853,77.45500405837282,100,24.112299800078908,0.39017653465270996,-0.2536988,60.08323860168457,186.14797817966885,4.634253025054932,8.558347702026367,1.2207031e-08
7,80000,0.11243700981140137,8.16463589668274,207.55760563553926,3.290287494659424,355.52833087791385,185.1653865609056,100,2.983030352018083,0.43759846687316895,-0.021109194,68.820068359375,195.33815736726575,4.630960702896118,8.714926719665527,-5.912781e-09
8,90000,0.04146003723144531,8.20156216621399,200.95493473339567,3.2308120727539062,347.08542783079974,167.31616301970072,100,6.1659389231629715,0.35930728912353516,-0.052678626,77.44070982933044,191.42578319500493,4.723526239395142,8.602579355239868,-0.010312857
9,100000,0.041446685791015625,8.23996090888977,202.78318331655493,3.3358516693115234,360.7897129124812,191.9369170690123,100,2.0085864424889825,0.33736276626586914,-0.027503287,86.08325505256653,196.58067152635746,4.656152963638306,8.619029760360718,1.373291e-08
