n_timesteps,train-AverageReturn,train-AverageDiscountedReturn,train-MaxReturn,Itr,Time-Sampling,train-NumTrajs,train-PolicyExecTime,Time-SampleProc,train-StdReturn,LossAfter,train-EnvExecTime,Time-Optimization,train-MinReturn,Time,ItrTime,LossBefore
10000,-44.24696936189726,-76.69437421989487,42.95974886508571,0,30.209737300872803,100,25.182668447494507,0.0577390193939209,37.72902147678272,-7.6932845,4.52764105796814,6.501106262207031,-135.23981214061598,36.769288063049316,36.769282817840576,6.1035155e-09
20000,-37.771957484413996,-63.2782693907035,49.07826769788991,1,27.820271253585815,100,23.107951641082764,0.1339278221130371,41.544073135597195,-0.023138992,4.219192266464233,2.9613449573516846,-199.27737184633142,67.78908205032349,30.91642713546753,8.392334e-09
30000,-60.17904543062685,-107.24366619144519,52.375458021494154,2,28.102415084838867,100,23.456897735595703,0.10727190971374512,43.37815901880714,-0.052560985,4.1592512130737305,3.090449810028076,-153.1745752630714,99.1188850402832,31.30120015144348,1.2207031e-08
40000,-67.67855641712595,-119.26221935766716,71.69013572654727,3,32.0973002910614,100,27.237873554229736,0.05537605285644531,45.792432510702874,-0.021589005,4.342010498046875,2.875166893005371,-195.85146194425224,134.16789603233337,35.029356956481934,-1.2207031e-08
50000,-62.02087407300057,-109.1893518741191,43.42969197249796,4,30.16719961166382,100,25.403664350509644,0.08430695533752441,37.67214545327727,-0.037300732,4.277420520782471,2.246155023574829,-126.55610141008343,166.68993711471558,32.49838399887085,-0.0024056428
60000,-57.70811587270452,-102.4903867773452,41.81686837498743,5,31.058853149414062,100,26.182104349136353,0.11862778663635254,39.94330676060102,-0.035970833,4.379323720932007,2.5483078956604004,-211.4953476471528,200.44386911392212,33.72689175605774,1.2207031e-08
70000,-53.950700724689476,-96.73442455342028,38.130407944315806,6,33.6090190410614,100,28.3698627948761,0.1272420883178711,43.176061538198276,-0.4268308,4.717705249786377,2.5973031520843506,-175.3441598363706,236.79795908927917,36.3341338634491,1.525879e-08
80000,-49.02602821746766,-87.30427948230508,77.49107312223049,7,31.852723836898804,100,27.04164981842041,0.06185007095336914,38.348065842483486,-0.044785127,4.275311470031738,2.9752087593078613,-135.39543669752612,271.71133518218994,34.89036798477173,-1.6021728e-08
90000,-41.41059711613536,-72.49541737694058,51.81487422538459,8,29.811239004135132,100,24.947880029678345,0.13918089866638184,36.55163416673057,-0.11824453,4.3551483154296875,2.5994069576263428,-128.29199824449574,304.2886281013489,32.55465793609619,-3.8146974e-09
100000,-38.0354777295313,-65.64451245985745,46.46948330809436,9,29.323654890060425,100,24.52665686607361,0.12853598594665527,34.36580859903304,-0.080497116,4.250250339508057,2.521113157272339,-135.40813819430178,336.285325050354,31.974687814712524,-1.5258789e-09
